Deformation[in],Force[kip]
4.219182517428571,126.31475887505464
4.296398219571429,126.60627088956947
4.373613921714286,126.89778290408432
4.4508296238571425,127.18929491859916
4.528045326,127.480806933114
4.6052610281428565,127.77231894762885
4.682476730285714,128.0638309621437
4.759692432428571,128.35534297665853
4.836908134571428,128.62154254285585
4.914123836714285,128.83987857177763
4.991339538857143,129.0582146006994
5.068555240999999,129.27655062962117
5.145770943142857,129.49488665854295
5.222986645285714,129.7132226874647
5.300202347428571,129.9315587163865
5.377418049571428,130.26409855107488
5.454633751714286,130.63631936738324
5.531849453857142,131.00854018369162
5.609065156,131.380761
5.541076487333333,88.8407857699754
5.4730878186666665,76.86559419749722
5.40509915,53.59472203
5.337110481333333,36.968367878408934
5.269121812666667,20.120529843055152
5.201133144,2.386756139
5.123896016867647,-6.084523079389842
5.046658889735294,-26.562837650484582
4.969421762602941,-37.232670596149966
4.8921846354705885,-46.75618455156069
4.814947508338235,-54.10599185389816
4.737710381205882,-62.07558195365843
4.660473254073529,-69.51333139749372
4.583236126941176,-73.37324381362494
4.505998999808823,-77.23315622975616
4.42876187267647,-80.04076080395825
4.3515247455441175,-82.51108724053375
4.274287618411765,-84.98141367710927
4.197050491279412,-87.31492015161784
4.119813364147059,-89.20610455328077
4.042576237014705,-91.09728895494368
3.965339109882353,-92.98847335660658
3.88810198275,-94.8796577582695
3.8108648556176465,-96.77084215993241
3.7336277284852937,-98.66202656159534
3.6563906013529412,-99.84158709727559
3.579153474220588,-100.89984810813938
3.5019163470882346,-101.95810911900317
3.4246792199558818,-103.01637012986694
3.3474420928235293,-104.07463114073072
3.270204965691176,-105.1328921515945
3.1929678385588227,-106.10682111587377
3.1157307114264707,-106.98659854755262
3.0384935842941174,-107.86637597923149
2.961256457161764,-108.74615341091037
2.8840193300294112,-109.62593084258923
2.806782202897058,-110.5057082742681
2.729545075764706,-111.36066958025238
2.6523079486323526,-112.16057010592982
2.5750708214999998,-112.96047063160727
2.4978336943676465,-113.76037115728471
2.420596567235293,-114.56027168296215
2.3433594401029407,-115.36017220863958
2.266122312970588,-116.01051678663829
2.188885185838235,-116.40504198390262
2.1116480587058817,-116.79956718116695
2.0344109315735284,-117.19409237843128
1.957173804441176,-117.5886175756956
1.879936677308823,-118.01348281254086
1.80269955017647,-118.75523293270629
1.7254624230441171,-119.49698305287173
1.648225295911764,-120.23873317303716
1.570988168779411,-120.9804832932026
